Case Description,Sl. No.,Input,Expected Output,Actual Result,Status
Find sum of first n natural numbers.,1,0,0,As Expected,Pass
Find sum of first n natural numbers.,2,1,1,As Expected,Pass
Find sum of first n natural numbers.,3,2,3,As Expected,Pass
Find sum of first n natural numbers.,4,-5,Error,-2147483638,Fail
Find sum of first n natural numbers.,5,5,15,As Expected,Pass
Find sum of first n natural numbers.,6,10,55,As Expected,Pass
Find sum of first n natural numbers.,7,100,5050,As Expected,Pass
Find sum of first n natural numbers.,8,9999999,Input too large,-2014260032,Fail
Find sum of first n natural numbers.,9,21,231,As Expected,Pass
Find sum of first n natural numbers.,10,1500,1125750,As Expected,Pass
