a,b,c,Expected Output,Actual Output,Status
-1,-1,-1,Input out of range.,Input out of range.,Pass
-1,-1,0,Input out of range.,Input out of range.,Pass
-1,-1,1,Input out of range.,Input out of range.,Pass
-1,-1,50,Input out of range.,Input out of range.,Pass
-1,-1,99,Input out of range.,Input out of range.,Pass
-1,-1,100,Input out of range.,Input out of range.,Pass
-1,-1,101,Input out of range.,Input out of range.,Pass
-1,0,-1,Input out of range.,Input out of range.,Pass
-1,0,0,Input out of range.,Input out of range.,Pass
-1,0,1,Input out of range.,Input out of range.,Pass
-1,0,50,Input out of range.,Input out of range.,Pass
-1,0,99,Input out of range.,Input out of range.,Pass
-1,0,100,Input out of range.,Input out of range.,Pass
-1,0,101,Input out of range.,Input out of range.,Pass
-1,1,-1,Input out of range.,Input out of range.,Pass
-1,1,0,Input out of range.,Input out of range.,Pass
-1,1,1,Input out of range.,Input out of range.,Pass
-1,1,50,Input out of range.,Input out of range.,Pass
-1,1,99,Input out of range.,Input out of range.,Pass
-1,1,100,Input out of range.,Input out of range.,Pass
-1,1,101,Input out of range.,Input out of range.,Pass
-1,50,-1,Input out of range.,Input out of range.,Pass
-1,50,0,Input out of range.,Input out of range.,Pass
-1,50,1,Input out of range.,Input out of range.,Pass
-1,50,50,Input out of range.,Input out of range.,Pass
-1,50,99,Input out of range.,Input out of range.,Pass
-1,50,100,Input out of range.,Input out of range.,Pass
-1,50,101,Input out of range.,Input out of range.,Pass
-1,99,-1,Input out of range.,Input out of range.,Pass
-1,99,0,Input out of range.,Input out of range.,Pass
-1,99,1,Input out of range.,Input out of range.,Pass
-1,99,50,Input out of range.,Input out of range.,Pass
-1,99,99,Input out of range.,Input out of range.,Pass
-1,99,100,Input out of range.,Input out of range.,Pass
-1,99,101,Input out of range.,Input out of range.,Pass
-1,100,-1,Input out of range.,Input out of range.,Pass
-1,100,0,Input out of range.,Input out of range.,Pass
-1,100,1,Input out of range.,Input out of range.,Pass
-1,100,50,Input out of range.,Input out of range.,Pass
-1,100,99,Input out of range.,Input out of range.,Pass
-1,100,100,Input out of range.,Input out of range.,Pass
-1,100,101,Input out of range.,Input out of range.,Pass
-1,101,-1,Input out of range.,Input out of range.,Pass
-1,101,0,Input out of range.,Input out of range.,Pass
-1,101,1,Input out of range.,Input out of range.,Pass
-1,101,50,Input out of range.,Input out of range.,Pass
-1,101,99,Input out of range.,Input out of range.,Pass
-1,101,100,Input out of range.,Input out of range.,Pass
-1,101,101,Input out of range.,Input out of range.,Pass
0,-1,-1,Input out of range.,Input out of range.,Pass
0,-1,0,Input out of range.,Input out of range.,Pass
0,-1,1,Input out of range.,Input out of range.,Pass
0,-1,50,Input out of range.,Input out of range.,Pass
0,-1,99,Input out of range.,Input out of range.,Pass
0,-1,100,Input out of range.,Input out of range.,Pass
0,-1,101,Input out of range.,Input out of range.,Pass
0,0,-1,Input out of range.,Input out of range.,Pass
0,0,0,Not a Triangle.,Not a Triangle.,Pass
0,0,1,Not a Triangle.,Not a Triangle.,Pass
0,0,50,Not a Triangle.,Not a Triangle.,Pass
0,0,99,Not a Triangle.,Not a Triangle.,Pass
0,0,100,Not a Triangle.,Not a Triangle.,Pass
0,0,101,Input out of range.,Input out of range.,Pass
0,1,-1,Input out of range.,Input out of range.,Pass
0,1,0,Not a Triangle.,Not a Triangle.,Pass
0,1,1,Not a Triangle.,Not a Triangle.,Pass
0,1,50,Not a Triangle.,Not a Triangle.,Pass
0,1,99,Not a Triangle.,Not a Triangle.,Pass
0,1,100,Not a Triangle.,Not a Triangle.,Pass
0,1,101,Input out of range.,Input out of range.,Pass
0,50,-1,Input out of range.,Input out of range.,Pass
0,50,0,Not a Triangle.,Not a Triangle.,Pass
0,50,1,Not a Triangle.,Not a Triangle.,Pass
0,50,50,Not a Triangle.,Not a Triangle.,Pass
0,50,99,Not a Triangle.,Not a Triangle.,Pass
0,50,100,Not a Triangle.,Not a Triangle.,Pass
0,50,101,Input out of range.,Input out of range.,Pass
0,99,-1,Input out of range.,Input out of range.,Pass
0,99,0,Not a Triangle.,Not a Triangle.,Pass
0,99,1,Not a Triangle.,Not a Triangle.,Pass
0,99,50,Not a Triangle.,Not a Triangle.,Pass
0,99,99,Not a Triangle.,Not a Triangle.,Pass
0,99,100,Not a Triangle.,Not a Triangle.,Pass
0,99,101,Input out of range.,Input out of range.,Pass
0,100,-1,Input out of range.,Input out of range.,Pass
0,100,0,Not a Triangle.,Not a Triangle.,Pass
0,100,1,Not a Triangle.,Not a Triangle.,Pass
0,100,50,Not a Triangle.,Not a Triangle.,Pass
0,100,99,Not a Triangle.,Not a Triangle.,Pass
0,100,100,Not a Triangle.,Not a Triangle.,Pass
0,100,101,Input out of range.,Input out of range.,Pass
0,101,-1,Input out of range.,Input out of range.,Pass
0,101,0,Input out of range.,Input out of range.,Pass
0,101,1,Input out of range.,Input out of range.,Pass
0,101,50,Input out of range.,Input out of range.,Pass
0,101,99,Input out of range.,Input out of range.,Pass
0,101,100,Input out of range.,Input out of range.,Pass
0,101,101,Input out of range.,Input out of range.,Pass
1,-1,-1,Input out of range.,Input out of range.,Pass
1,-1,0,Input out of range.,Input out of range.,Pass
1,-1,1,Input out of range.,Input out of range.,Pass
1,-1,50,Input out of range.,Input out of range.,Pass
1,-1,99,Input out of range.,Input out of range.,Pass
1,-1,100,Input out of range.,Input out of range.,Pass
1,-1,101,Input out of range.,Input out of range.,Pass
1,0,-1,Input out of range.,Input out of range.,Pass
1,0,0,Not a Triangle.,Not a Triangle.,Pass
1,0,1,Not a Triangle.,Not a Triangle.,Pass
1,0,50,Not a Triangle.,Not a Triangle.,Pass
1,0,99,Not a Triangle.,Not a Triangle.,Pass
1,0,100,Not a Triangle.,Not a Triangle.,Pass
1,0,101,Input out of range.,Input out of range.,Pass
1,1,-1,Input out of range.,Input out of range.,Pass
1,1,0,Not a Triangle.,Not a Triangle.,Pass
1,1,1,Equilateral Triangle.,Equilateral Triangle.,Pass
1,1,50,Not a Triangle.,Not a Triangle.,Pass
1,1,99,Not a Triangle.,Not a Triangle.,Pass
1,1,100,Not a Triangle.,Not a Triangle.,Pass
1,1,101,Input out of range.,Input out of range.,Pass
1,50,-1,Input out of range.,Input out of range.,Pass
